BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
8, 0.0002293115, 0.0000006788, 92, 1.12, 1.18, 0.0087699680, 0.0000859028, 1, 0.0001669714, 0.0000022080, 1666, 38.24, 0.73
9, 0.0000617123, 0.0000018900, 7, 0.03, 0.08, 0.0000617123, 0.0000018900, 1, 0.0000023245, 0.0000000022, 40, 1.00, 0.04
10, 0.0011497705, 0.0000008554, 35, 0.68, 0.73, 0.0011783306, 0.0000473204, 1, 0.0000490637, 0.0000005538, 1051, 1.02, 0.04
11, 0.0000167234, 0.0000007731, 6, 0.03, 0.08, 0.0000167234, 0.0000007731, 1, 0.0000022378, 0.0000000003, 26, 1.00, 0.13
12, 0.0000044550, 0.0000000095, 7, 0.03, 0.08, 0.0000044550, 0.0000000095, 1, 0.0000043731, 0.0000000132, 19, 1.00, 0.98
13, 0.0000022714, 0.0000000090, 2, 0.02, 0.07, 0.0000022714, 0.0000000090, 1, 0.0000022714, 0.0000000090, 1, 1.00, 1.00
14, 0.0030919680, 0.0000014482, 47, 1.29, 1.34, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 3234186123530.39, 3234186123530.39
15, 0.0001019197, 0.0000006597, 81, 0.65, 0.70, 0.0002365324, 0.0000010501, 1, 0.0000866447, 0.0000000077, 334, 2.32, 0.85
16, 0.0001954128, 0.0000002414, 30, 0.14, 0.19, 0.0002933353, 0.0000087359, 1, 0.0000625234, 0.0000000011, 200, 1.50, 0.32
17, 0.0000030731, 0.0000002071, 10, 0.03, 0.08, 0.0000030731, 0.0000002071, 1, 0.0000022777, 0.0000000009, 39, 1.00, 0.74
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
