BENCH: alexnet
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
2, 0.00008725, 0.00000014, 37, 0.10, 0.00008725, 0.00000014, 1.00
3, 0.00000381, 0.00000000, 11, 0.03, 0.00000381, 0.00000000, 1.00
4, 0.00000521, 0.00000001, 40, 0.08, 0.00000521, 0.00000001, 1.00
5, 0.00007709, 0.00000012, 37, 0.11, 0.00007709, 0.00000012, 1.00
6, 0.00000446, 0.00000000, 11, 0.03, 0.00000446, 0.00000000, 1.00
7, 0.00000741, 0.00000001, 40, 0.08, 0.00000741, 0.00000001, 1.00
8, 0.00000512, 0.00000001, 10, 0.02, 0.00000512, 0.00000001, 1.00
9, 0.00004827, 0.00000092, 82, 0.18, 0.00004911, 0.00000007, 1.02
10, 0.00001034, 0.00000003, 40, 0.08, 0.00001034, 0.00000003, 1.00
11, 0.00002653, 0.00000015, 74, 0.22, 0.00002675, 0.00000006, 1.01
12, 0.00000672, 0.00000001, 10, 0.02, 0.00000672, 0.00000001, 1.00
13, 0.00006442, 0.00000038, 76, 0.16, 0.00006560, 0.00000020, 1.02
14, 0.00000716, 0.00000000, 16, 0.04, 0.00000716, 0.00000000, 1.00
15, 0.00000659, 0.00000025, 100, 0.27, 0.00000839, 0.00000001, 1.27
16, 0.00000312, 0.00000002, 15, 0.04, 0.00000383, 0.00000012, 1.23
17, 0.00001668, 0.00000002, 36, 0.07, 0.00001668, 0.00000002, 1.00
18, 0.00000478, 0.00000000, 40, 0.07, 0.00000478, 0.00000000, 1.00
19, 0.00002551, 0.00000013, 36, 0.09, 0.00002551, 0.00000013, 1.00
20, 0.00000435, 0.00000000, 39, 0.07, 0.00000435, 0.00000000, 1.00
21, 0.00002481, 0.00000001, 36, 0.05, 0.00002481, 0.00000001, 1.00
22, 0.00015887, 0.00000101, 72, 0.13, 0.00016355, 0.00000007, 1.03
23, 0.00000202, 0.00000006, 69, 0.10, 0.00000361, 0.00000012, 1.79
24, 0.00000008, 0.00000002, 14, 0.04, 0.00000324, 0.00000001, 38.75
25, 0.00001174, 0.00000036, 1, 0.05, 0.00001174, 0.00000036, 1.00
26, 0.00000426, 0.00000002, 72, 0.11, 0.00000781, 0.00000001, 1.83
BENCH: squeezenet
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00016682, 0.00000118, 74, 0.20, 0.00018089, 0.00000019, 1.08
1, 0.00010206, 0.00000036, 72, 0.17, 0.00010722, 0.00000005, 1.05
2, 0.00020025, 0.00000965, 68, 0.19, 0.00020029, 0.00000012, 1.00
3, 0.00019279, 0.00000170, 100, 0.27, 0.00020192, 0.00000017, 1.05
4, 0.00000682, 0.00000001, 10, 0.02, 0.00000682, 0.00000001, 1.00
5, 0.00014232, 0.00000034, 100, 0.20, 0.00015161, 0.00000051, 1.07
6, 0.00001209, 0.00000002, 16, 0.04, 0.00001209, 0.00000002, 1.00
7, 0.00002803, 0.00000021, 100, 0.16, 0.00003061, 0.00000006, 1.09
8, 0.00004843, 0.00000057, 77, 0.13, 0.00005080, 0.00000001, 1.05
9, 0.00003111, 0.00000009, 33, 0.06, 0.00003111, 0.00000009, 1.00
10, 0.00000733, 0.00000001, 16, 0.03, 0.00000733, 0.00000001, 1.00
11, 0.00002781, 0.00000006, 36, 0.06, 0.00002781, 0.00000006, 1.00
12, 0.00005409, 0.00000137, 84, 0.48, 0.00005614, 0.00000017, 1.04
13, 0.00002562, 0.00000006, 33, 0.06, 0.00002562, 0.00000006, 1.00
14, 0.00000534, 0.00000003, 10, 0.02, 0.00000534, 0.00000003, 1.00
15, 0.00002027, 0.00000006, 33, 0.05, 0.00002027, 0.00000006, 1.00
16, 0.00002856, 0.00000020, 70, 0.27, 0.00002863, 0.00000002, 1.00
17, 0.00001568, 0.00000000, 36, 0.07, 0.00001568, 0.00000000, 1.00
18, 0.00003509, 0.00000006, 37, 0.06, 0.00003509, 0.00000006, 1.00
19, 0.00004654, 0.00000026, 91, 0.34, 0.00004759, 0.00000009, 1.02
20, 0.00002177, 0.00000023, 100, 0.16, 0.00002306, 0.00000005, 1.06
21, 0.00065961, 0.00000287, 100, 0.29, 0.00069409, 0.00000094, 1.05
22, 0.00000426, 0.00000001, 12, 0.03, 0.00000426, 0.00000001, 1.00
23, 0.00000670, 0.00000001, 10, 0.02, 0.00000670, 0.00000001, 1.00
24, 0.00000713, 0.00000002, 33, 0.05, 0.00000713, 0.00000002, 1.00
BENCH: resnet101
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
