BENCH: densenet169
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
30, 0.0000710038, 0.0000005137, 100, 1.29, 1.40, 0.0001007370, 0.0000002384, 8, 0.0000645248, 0.0000001487, 33, 1.42, 0.91
31, 0.0000842093, 0.0000001998, 100, 1.19, 1.30, 0.0001033786, 0.0000001516, 8, 0.0000665407, 0.0000010412, 27, 1.23, 0.79
32, 0.0000785108, 0.0000006477, 100, 1.33, 1.43, 0.0001433783, 0.0000579517, 1, 0.0000274138, 0.0000000198, 262, 1.83, 0.35
33, 0.0005071863, 0.0000010038, 100, 1.42, 1.53, 0.0005232505, 0.0000004061, 5, 0.0003137251, 0.0000004345, 98, 1.03, 0.62
34, 0.0003139590, 0.0000008261, 100, 1.43, 1.53, 0.0007106030, 0.0000304221, 1, 0.0003137625, 0.0000764658, 42, 2.26, 1.00
35, 0.0003304792, 0.0000004371, 100, 1.57, 1.68, 0.0005703804, 0.0000008706, 2, 0.0002158514, 0.0000001812, 11, 1.73, 0.65
36, 0.0003472042, 0.0000004046, 99, 1.26, 1.37, 0.0005703298, 0.0001573869, 2, 0.0002627289, 0.0000003226, 116, 1.64, 0.76
37, 0.0002361080, 0.0000006923, 100, 1.38, 1.49, 0.0004750934, 0.0000009255, 3, 0.0002955811, 0.0000003621, 69, 2.01, 1.25
38, 0.0003111523, 0.0000008116, 93, 1.48, 1.58, 0.0007916007, 0.0000013132, 8, 0.0002711151, 0.0000004801, 123, 2.54, 0.87
39, 0.0002139010, 0.0000009898, 100, 1.59, 1.70, 0.0005059232, 0.0000002955, 6, 0.0002925075, 0.0000004276, 76, 2.37, 1.37
40, 0.0003531492, 0.0000008186, 100, 1.33, 1.43, 0.0003937076, 0.0000005833, 7, 0.0002778315, 0.0000112849, 85, 1.11, 0.79
41, 0.0004051443, 0.0000011626, 99, 1.38, 1.48, 0.0004778827, 0.0000004913, 10, 0.0001620116, 0.0000005113, 105, 1.18, 0.40
42, 0.0004089000, 0.0000022389, 97, 1.55, 1.65, 0.0004128150, 0.0000021095, 6, 0.0002194684, 0.0000001661, 85, 1.01, 0.54
43, 0.0002717583, 0.0000066419, 98, 1.52, 1.63, 0.0003993353, 0.0000004563, 8, 0.0002260257, 0.0000018238, 53, 1.47, 0.83
44, 0.0001512367, 0.0000018757, 98, 1.35, 1.46, 0.0002156983, 0.0000002583, 2, 0.0002144442, 0.0000003872, 34, 1.43, 1.42
45, 0.0003247625, 0.0000002347, 17, 0.67, 0.78, 0.0003247625, 0.0000002347, 2, 0.0001654408, 0.0000001206, 110, 1.00, 0.51
46, 0.0001090730, 0.0000005042, 98, 1.33, 1.41, 0.0001179953, 0.0000023846, 7, 0.0001179953, 0.0000023846, 7, 1.08, 1.08
